que,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
1,1273,827,1507,826,1740,825,1974,826,2209,826
2,1273,917,1507,916,1740,915,1974,916,2209,916
3,1273,1020,1507,1019,1740,1018,1974,1019,2209,1019
4,1273,1179,1507,1177,1740,1176,1974,1177,2209,1177
5,1273,1317,1507,1315,1740,1314,1974,1314,2209,1314
6,1274,1453,1508,1451,1741,1450,1975,1450,2210,1450
7,1274,1643,1508,1642,1741,1641,1975,1641,2210,1641
8,1274,1762,1508,1760,1741,1759,1975,1759,2211,1759
9,1274,1881,1508,1879,1741,1878,1975,1878,2211,1878
10,1274,2078,1509,2076,1742,2075,1976,2075,2211,2075
11,1274,2166,1509,2165,1742,2164,1976,2164,2211,2164
12,1274,2346,1509,2345,1742,2344,1976,2344,2212,2344
13,1244,2555,1414,2554,1624,2553,1885,2553,2217,2553
14,1274,2738,1509,2737,1742,2736,1976,2736,2212,2736
