Bogen1,Bogen2,Bogen3,Bogen4,Bogen5,Bogen6,Bogen7,Bogen8,Bogen9,Bogen10,Bogen11,Bogen12,Bogen13,Bogen14,Bogen15,Bogen16,Bogen17,Bogen18,Bogen19,Bogen20,Bogen21,Bogen22,Bogen23,Bogen24,Bogen25,Bogen26,Bogen27,Bogen28
1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2
1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,,1,2,2,1,1,2,,2
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2
3,2,3,3,4,2,4,23,3,3,3,4,3,3,3,3,2,1,3,,3,4,3,2,3,3,4,4
3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3
2,3,3,2,4,2,3,3,3,3,3,3,3,4,,4,3,3,3,3,3,4,4,3,3,3,35,34
1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
2,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1
2,2,1,2,1,3,2,1,1,3,,1,2,2,2,1,3,1,2,2,123,2,1,1,2,2,1,12
2,2,1,2,1,2,1,2,,2,1,1,1,2,2,1,1,1,2,1,1,1,,1,2,1,1,1
23,2,1,2,1,3,2,3,2,2,1,3,2,,3,3,2,2,3,3,1,1,,1,2,2,2,1
3,4,4,2,2,3,2,145,24,2,5,4,3,3,2,3,4,2,2,3,245,4,5,12,2345,1,5,2
1,1,1,2,,1,2,2,,1,1,1,1,2,2,1,2,2,1,1,1,3,1,1,1,1,23,1
